"","X","republican","democrat","place_lat","place_lon"
"361",6254,1,0,32.8198585,-96.7617535
"362",6287,0,1,31.79337,-106.4174305
"363",6293,1,0,31.79337,-106.4174305
"364",6294,1,0,31.793368,-106.4174305
"365",6319,0,1,40.780709,-73.9685415
"366",6330,0,1,29.98924,-97.863458
"367",6334,0,1,47.61482,-122.3306025
"368",6335,1,0,39.58304,-86.1453205
"369",6336,1,0,39.58304,-86.1453205
"370",6337,1,0,39.58304,-86.1453205
"371",6338,1,0,39.58304,-86.1453205
"372",6339,1,0,39.58304,-86.1453205
"373",6340,1,0,39.58304,-86.1453205
"374",6341,1,0,39.58304,-86.1453205
"375",6342,1,0,39.58304,-86.1453205
"376",6343,1,0,39.58304,-86.1453205
"377",6344,1,0,39.58304,-86.1453205
"378",6345,1,0,39.58304,-86.1453205
"379",6346,1,0,39.58304,-86.1453205
"380",6347,1,0,39.58304,-86.1453205
"381",6348,1,0,39.58304,-86.1453205
"382",6361,1,0,40.7180015,-74.066663
"383",6374,1,0,29.838495,-95.4464865
"384",6377,1,0,29.8385,-95.4464865
"385",6379,1,0,36.6072,-79.418222
"386",6441,0,1,29.417501,-98.5406515
"387",6442,1,1,29.838495,-95.4464865
"388",6512,1,1,29.838495,-95.4464865
"389",6567,1,0,29.838495,-95.4464865
"390",6602,1,0,30.15959,-96.398422
"391",6611,0,1,32.81986,-96.7617535
"392",6653,1,1,29.838495,-95.4464865
"393",6688,1,0,29.8385,-95.4464865
"394",6712,1,0,42.3527865,-83.099288
"395",6764,1,0,29.8385,-95.4464865
"396",6783,1,0,40.748984,-74.2586235
"397",6854,1,1,25.94493,-80.2697325
"398",6855,1,1,25.94493,-80.2697325
"399",6893,0,1,36.0904,-79.8573635
"400",6904,0,1,28.50168,-81.3677725
"401",6925,1,0,32.67821,-83.1738665
"402",6951,0,1,37.090301,-76.5078085
"403",6955,1,0,38.96378,-76.7466385
"404",6991,1,1,27.300765,-80.3452625
"405",6994,0,1,27.300765,-80.3452625
"406",7038,1,0,40.10224,-74.946407
"407",7060,0,1,32.571032,-89.876449
"408",7074,1,0,33.739992,-117.8874385
"409",7092,0,1,40.3651595,-82.6694675
"410",7094,0,1,41.99177,-87.8757025
"411",7095,1,0,47.232584,-122.3600785
"412",7141,0,1,39.77956,-86.1429225
"413",7145,1,0,36.232915,-115.223125
"414",7167,1,0,34.02079,-118.4119065
"415",7198,0,1,35.71295,-79.809521
"416",7213,0,1,32.67821,-83.1738665
"417",7222,0,1,41.08088,-81.5167515
"418",7228,1,0,32.53605,-86.2037815
"419",7229,1,0,30.08692,-94.1286335
"420",7237,1,0,41.08692,-85.1700515
"421",7239,1,0,41.08692,-85.1700515
"422",7256,1,0,29.97267,-95.19268
"423",7257,0,1,32.092979,-96.4765385
"424",7268,0,1,40.7709815,-74.2367465
"425",7284,1,0,34.415631,-118.5032585
"426",7301,0,1,39.512436,-119.827182
"427",7304,1,0,40.61958,-74.423014
"428",7391,1,0,40.885188,-81.382695
"429",7392,1,0,34.02079,-118.4119065
"430",7395,1,0,29.9793655,-94.0309975
"431",7410,1,0,41.83358,-87.732013
"432",7412,1,0,41.83358,-87.732013
"433",7417,1,1,36.786042,-119.7824645
"434",7422,1,0,29.838495,-95.4464865
"435",7426,0,1,41.36084,-82.114383
"436",7433,1,0,41.11794,-77.604684
"437",7471,0,1,33.6311395,-80.926628
"438",7486,0,1,29.689818,-98.4863935
"439",7490,0,1,37.0903,-76.5078085
"440",7496,0,1,21.31994,-157.799589
"441",7497,0,1,21.31994,-157.799589
"442",7507,1,0,40.0730405,-74.7243235
"443",7524,1,0,47.2429605,-122.455344
"444",7531,1,0,39.145374,-77.153646
"445",7549,1,0,29.5742845,-95.508925
"446",7558,1,0,30.202771,-93.1977235
"447",7609,0,1,33.55286,-112.1246765
"448",7614,1,0,29.838495,-95.4464865
"449",7653,0,1,41.1728,-87.920083
"450",7655,0,1,41.15906,-87.856297
"451",7658,0,1,41.15906,-87.856297
"452",7670,0,1,33.40575,-111.7375655
"453",7680,1,0,34.0207895,-118.4119065
"454",7714,0,1,35.99098,-78.8954405
"455",7747,0,1,40.00487,-75.117998
"456",7828,0,1,32.973067,-96.5867495
"457",7841,0,1,45.3451245,-122.5957415
"458",7865,0,1,33.7671945,-84.433106
"459",7907,1,0,44.00123,-71.566171
"460",7926,0,1,35.30905,-98.716992
"461",7932,1,0,32.21631,-98.219125
"462",7940,0,1,39.087055,-77.1631025
"463",7977,1,0,28.65751,-81.187933
"464",7980,0,1,34.0207895,-118.4119065
"465",7984,0,1,40.91766,-81.1124265
"466",7996,1,1,38.7848495,-76.8310745
"467",7999,0,1,29.838495,-95.4464865
"468",8000,0,1,43.04572,-89.379873
"469",8004,0,1,35.30905,-98.716992
"470",8015,0,1,39.2973805,-80.2436445
"471",8016,0,1,39.2973805,-80.2436445
"472",8021,1,0,40.0048655,-75.117998
"473",8022,0,1,32.6782075,-83.1738665
"474",8032,1,0,32.364145,-86.2447285
"475",8041,1,0,33.28245,-111.8808735
"476",8042,1,0,33.28245,-111.8808735
"477",8062,0,1,43.16266,-77.712567
"478",8068,0,1,36.129689,-97.0802045
"479",8071,1,0,38.88789,-76.785957
"480",8100,1,0,35.83052,-85.9785995
"481",8107,0,1,34.20437,-92.017452
"482",8119,1,0,29.982601,-90.011008
"483",8123,0,1,37.090301,-76.5078085
"484",8130,1,0,32.59526,-96.9596635
"485",8134,1,0,35.2223,-97.4451735
"486",8143,1,0,35.4828435,-97.552161
"487",8151,1,0,35.4828435,-97.552161
"488",8157,1,0,35.48284,-97.552161
"489",8164,1,0,35.4828435,-97.552161
"490",8165,1,0,35.52791,-97.6167175
"491",8166,1,0,35.4828435,-97.552161
"492",8170,1,0,35.4828435,-97.552161
"493",8196,0,1,40.78071,-73.9685415
"494",8210,1,0,39.284713,-76.620482
"495",8213,0,1,41.8335845,-87.732013
"496",8249,1,0,27.69868,-83.804475
"497",8252,1,0,27.69868,-83.804475
"498",8282,0,1,34.16825,-111.931711
"499",8284,0,1,34.16825,-111.931711
"500",8325,1,0,21.31994,-157.799589
"501",8328,1,0,32.761695,-97.454799
"502",8334,0,1,36.0904,-79.8573635
"503",8355,0,1,29.417501,-98.5406515
"504",8417,1,0,38.86167,-76.8887705
"505",8421,1,0,41.60454,-87.6532555
"506",8437,1,0,28.0768615,-82.432361
"507",8441,1,0,33.5422375,-86.793917
"508",8451,0,1,33.842863,-117.851089
"509",8482,1,0,40.7180015,-74.066663
"510",8494,1,0,39.7795625,-86.1429225
"511",8497,1,0,45.00118,-86.2705395
"512",8499,0,1,35.18275,-111.6351495
"513",8506,1,0,34.02079,-118.4119065
"514",8531,1,0,32.84293,-86.6282315
"515",8542,0,1,33.7671945,-84.433106
"516",8545,1,0,33.7722075,-84.296906
"517",8550,1,0,43.057039,-77.641937
"518",8562,1,0,36.0188,-115.2344355
"519",8563,1,0,36.0188,-115.2344355
"520",8579,1,0,36.23291,-115.223125
"521",8593,1,0,40.78071,-73.9685415
"522",8607,0,1,35.9909825,-78.8954405
"523",8608,1,0,39.512436,-119.827182
"524",8629,1,0,30.58547,-96.2916485
